user_id,session_id,age_group,dwell_time,pageviews,clicked,engagement_score
1178,1,18-24,49.39309150300891,3,0,20.957236601203565
1435,2,45-54,10.495770296333756,4,0,5.7983081185335035
5601,3,45-54,5.934060958741938,3,0,3.5736243834967754
2010,4,35-44,8.426947284896507,5,0,5.370778913958603
7524,5,35-44,27.793161358060615,4,1,12.917264543224245
4676,6,45-54,76.23064391868598,1,0,30.892257567474395
7514,7,25-34,108.38521066832504,4,0,44.954084267330025
4462,8,55+,51.97306719821497,3,0,21.98922687928599
8960,9,35-44,9.290642261207122,7,0,6.51625690448285
175,10,45-54,29.32237336409918,1,0,12.128949345639674
9333,11,18-24,149.79317756027208,6,0,62.317271024108834
2179,12,18-24,187.76247467672275,6,1,77.7049898706891
3894,13,25-34,3.931149447474969,1,1,2.172459778989988
5390,14,45-54,1.0441975628374527,3,0,1.6176790251349813
9584,15,35-44,11.444752063533425,7,0,7.37790082541337
2326,16,35-44,3.0437230888932247,3,0,2.41748923555729
9033,17,55+,27.30381594188451,3,0,12.121526376753803
7495,18,45-54,1.4522554451439296,4,0,2.180902178057572
433,19,45-54,27.030028647317927,1,0,11.212011458927172
2445,20,45-54,6.963139784320285,5,0,4.785255913728115
4677,21,35-44,11.12777628627388,5,0,6.451110514509552
4445,22,25-34,83.83024012036466,6,0,35.932096048145866
6783,23,45-54,88.40377468273354,4,0,36.96150987309342
7338,24,25-34,38.83843499168649,7,0,18.335373996674598
414,25,45-54,24.969933605425048,5,0,11.98797344217002
1535,26,55+,1.8342693762032347,0,0,0.7337077504812939
5095,27,45-54,17.54157352117952,2,0,7.816629408471807
9520,28,18-24,110.733888326342,5,1,46.49355533053681
4721,29,25-34,34.314472594756666,3,1,15.125789037902667
6797,30,25-34,41.47164729058745,3,0,17.78865891623498
7680,31,18-24,3.6503463648634447,12,1,6.460138545945379
3128,32,55+,21.160477825046712,1,0,8.864191130018686
5197,33,55+,54.202137306521294,2,1,22.680854922608518
5519,34,18-24,5.547371176553707,9,1,6.018948470621483
7014,35,18-24,67.64279703495527,6,0,29.457118813982106
6356,36,35-44,70.95426758354057,7,0,31.18170703341623
9428,37,45-54,9.105570034245984,4,1,5.4422280136983945
4483,38,25-34,14.892189078308526,2,1,6.956875631323411
2669,39,35-44,44.00282009954748,6,0,20.001128039818994
4242,40,45-54,19.1785703667895,1,1,8.2714281467158
4855,41,45-54,25.40514287936004,6,1,12.762057151744015
4475,42,55+,9.456701931432262,4,0,5.382680772572905
9967,43,25-34,64.76289258732147,6,0,28.30515703492859
256,44,35-44,35.27515953526731,6,0,16.51006381410693
9865,45,35-44,11.669254553257852,2,0,5.467701821303141
5362,46,45-54,5.993287303617582,4,1,4.197314921447033
5152,47,35-44,5.022500260495559,4,1,3.809000104198224
5682,48,18-24,26.03785664434576,3,1,11.815142657738303
3685,49,55+,6.596376575052614,0,0,2.6385506300210455
6024,50,45-54,9.040016215603483,5,0,5.616006486241393
4952,51,35-44,57.711199301512394,5,0,25.08447972060496
6801,52,25-34,13.521168252662966,5,0,7.408467301065187
9787,53,45-54,3.108597925461364,2,1,2.243439170184546
1389,54,35-44,22.38379046257104,8,1,12.353516185028415
4618,55,18-24,1.9435210873511637,7,0,3.577408434940466
7919,56,25-34,83.27468973889843,5,1,35.509875895559375
328,57,55+,97.5640915393913,4,0,40.62563661575653
8216,58,45-54,8.354612946991956,3,0,4.541845178796783
635,59,18-24,285.00788946017747,3,0,115.203155784071
5665,60,35-44,54.92781685719117,1,1,22.571126742876466
2896,61,18-24,72.93850810588887,11,0,33.57540324235555
531,62,25-34,23.509455719938416,7,0,12.203782287975367
6997,63,35-44,33.19031726856255,4,0,14.876126907425022
1018,64,55+,6.9438220760983285,1,0,3.1775288304393317
5987,65,35-44,22.164084623892617,2,1,9.865633849557048
8514,66,45-54,6.031682036994908,4,0,4.012672814797963
4663,67,18-24,46.264927894708585,8,0,21.705971157883432
3961,68,18-24,6.9274789847118585,7,1,5.770991593884744
9057,69,55+,0.6630509325547138,1,0,0.6652203730218855
5198,70,55+,61.30596962724972,0,0,24.52238785089989
7706,71,25-34,0.03633171898091844,5,0,2.0145326875923675
5785,72,18-24,0.9865141033302539,3,1,1.7946056413321017
5959,73,25-34,41.51660677552363,5,1,18.806642710209452
8720,74,25-34,34.66602198480078,4,1,15.666408793920311
8106,75,45-54,3.0813664999888575,1,0,1.632546599995543
1922,76,45-54,2.0620659422897343,3,1,2.2248263769158942
8535,77,18-24,8.371956952239028,3,0,4.548782780895611
6936,78,45-54,32.29060454697486,3,0,14.116241818789945
3904,79,45-54,49.5613787183103,3,0,21.02455148732412
7051,80,55+,73.76825013692087,3,0,30.70730005476835
3300,81,35-44,73.66244714322086,7,0,32.26497885728834
4547,82,25-34,51.82128195024244,4,0,22.32851278009698
577,83,25-34,4.46715571685254,9,0,5.386862286741016
6292,84,18-24,112.79159787202184,7,1,48.11663914880874
7153,85,18-24,69.35584398542254,8,1,31.142337594169014
247,86,45-54,17.97221880211781,4,0,8.788887520847124
8066,87,45-54,10.550146214460579,3,0,5.4200584857842316
5997,88,18-24,80.68231069643416,9,1,36.072924278573666
6916,89,35-44,46.4806595365008,3,0,19.79226381460032
4200,90,35-44,11.833235652631927,3,0,5.9332942610527715
2419,91,55+,0.6312729469952406,3,1,1.6525091787980963
3796,92,35-44,118.70142383525102,2,0,48.28056953410041
4264,93,25-34,41.89739006290414,4,0,18.358956025161657
7633,94,25-34,3.6203720386334197,6,0,3.848148815453368
7877,95,35-44,26.657164985124737,1,1,11.262865994049895
6348,96,35-44,59.47358539641968,6,0,26.18943415856787
2391,97,35-44,43.61517408388817,4,0,19.04606963355527
7755,98,35-44,46.467267167070766,2,0,19.38690686682831
7137,99,35-44,34.09226095304847,7,0,16.43690438121939
6012,100,18-24,20.38822526615214,8,0,11.355290106460856
7702,101,35-44,20.691094819742105,4,0,9.876437927896841
1942,102,18-24,3.212369451608003,7,0,4.084947780643201
1811,103,25-34,25.89786260528616,5,0,12.359145042114465
5425,104,55+,58.041933390141885,2,1,24.216773356056756
117,105,25-34,3.7096689914534062,9,0,5.083867596581363
8980,106,55+,3.300955552655279,1,0,1.7203822210621116
